Code,Name,20201,20202,20203,20211,20212,20213,20221,20222,20223,20231,20232,20233,20241,20242,20243,20251,20252,20253
DPHR,DPHR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR
DPHY,DPHY,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR
DSCI,Data Science,,,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV
DSM,Digital Social Media,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC,Y ANSC
DSO,Data Sciences and Operations,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS
DSR,"Development, Stem Cells and Regenerative Medicine",Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK
EALC,East Asian Languages and Cultures,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
EASC,East Asian Studies,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
ECON,Economics,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
EDCO,Education Counseling,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR
EDHP,Higher and Postsecondary Education,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR
EDPA,"Educational Policy, Planning and Administration",Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR
EDPT,Educational Psychology and Technology,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR
EDUC,Education,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR
EDUE,Education Expanded,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR,Y EDCR
EE,Electrical and Computer Engineering,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV
EIS,Engineering in Society,,,,,,,,,,,,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV
EM,Emergency Management,,,,,,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC,Y BVC
ENDO,Endodontics,,,,,,,,,,,,,,Y DNTR,,,,
ENE,Environmental Engineering,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV
ENGL,English,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
ENGR,Engineering,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV,Y ENGV
ENST,Environmental Studies Program,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
EXSC,Kinesiology,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
FBE,Finance and Business Economics,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS
FDN,Fashion Design,,,,,,,,,,,,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE,Y FINE
FIM,Food Industry Management,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS,Y BUS
FREN,French,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
FSEM,Freshman Seminars,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
GDEN,Geriatric Dentistry,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR
GEOG,Geography,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
GEOL,Geological Sciences,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
GERM,German Studies,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS,Y DRNS
GERO,Gerontology,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD,Y GERD
GM,Global Medicine,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK,Y MEDK
GPPD,"Global Policy, Planning and Development",Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,Y PPDP,,,
GPR,General Practice Residency,,,,,,,,,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR,Y DNTR
